sentence,label,idx
hide new secretions from the parental units ,0,0
"contains no wit , only labored gags ",0,1
that loves its characters and communicates something rather beautiful about human nature ,1,2
remains utterly satisfied to remain the same throughout ,0,3
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,4
that 's far too tragic to merit such superficial treatment ,0,5
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,6
of saucy ,1,7
a depressed fifteen-year-old 's suicidal poetry ,0,8
are more deeply thought through than in most ` right-thinking ' films ,1,9
goes to absurd lengths ,0,10
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,11
"the part where nothing 's happening , ",0,12
saw how bad this movie was ,0,13
lend some dignity to a dumb story ,0,14
the greatest musicians ,1,15
cold movie ,0,16
with his usual intelligence and subtlety ,1,17
redundant concept ,0,18
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,19
equals the original and in some ways even betters it ,1,20
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,21
a smile on your face ,1,22
"comes from the brave , uninhibited performances ",1,23
excruciatingly unfunny and pitifully unromantic ,0,24
enriched by an imaginatively mixed cast of antic spirits ,1,25
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,26
in world cinema ,1,27
very good viewing alternative ,1,28
"the plot is nothing but boilerplate clichés from start to finish , ",0,29
the action is stilted ,0,30
on all cylinders ,1,31
"will find little of interest in this film , which is often preachy and poorly acted ",0,32
by far the worst movie of the year ,0,33
"sit through , ",0,34
more than another `` best man '' clone by weaving a theme throughout this funny film ,1,35
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,36
heroes ,1,37
oblivious to the existence of this film ,0,38
sharply ,1,39
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,40
sometimes dry ,0,41
"as they come , already having been recycled more times than i 'd care to count ",0,42
"covers this territory with wit and originality , suggesting that with his fourth feature ",1,43
a $ 40 million version of a game ,0,44
gorgeous and deceptively minimalist ,1,45
cross swords with the best of them and ,1,46
as a fringe feminist conspiracy theorist ,0,47
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,48
disappointments ,0,49
the horrors ,0,50
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,51
many pointless ,0,52
a beautifully ,1,53
"contrived , well-worn situations ",0,54
a doa ,0,55
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,56
to be as subtle and touching as the son 's room ,1,57
starts with a legend ,1,58
far less sophisticated and ,0,59
rich veins of funny stuff in this movie ,1,60
no apparent joy ,0,61
shot on ugly digital video ,0,62
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,63
"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,64
is pretty damned funny . ,1,65
we never feel anything for these characters ,0,66
's a lousy one at that ,0,67
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,68
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,69
of the most highly-praised disappointments i ,0,70
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,71
seem fresh ,1,72
to the dustbin of history ,0,73
"as a director , eastwood is off his game ",0,74
pays earnest homage to turntablists ,1,75
weak and ,0,76
"skip this dreck , ",0,77
contains very few laughs and even less surprises ,0,78
film to affirm love 's power to help people endure almost unimaginable horror ,1,79
are an absolute joy ,1,80
generates ,1,81
", like life , is n't much fun without the highs and lows ",1,82
based on a true and historically significant story ,1,83
well-rounded tribute ,1,84
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,85
so much like a young robert deniro ,1,86
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,87
fashioning an engrossing entertainment out ,1,88
spiffy animated feature ,1,89
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,90
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,91
strung-together moments ,0,92
", generous and subversive artworks ",1,93
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,94
funny yet ,1,95
overbearing and over-the-top ,0,96
it 's robert duvall ! ,1,97
rich and sudden wisdom ,1,98
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,99
in memory ,1,100
respectable new one ,1,101
yet this grating showcase ,0,102
hate to tear your eyes away from the images long enough to read the subtitles ,1,103
addition to sporting one of the worst titles in recent cinematic history ,0,104
", this gender-bending comedy is generally quite funny . ",1,105
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0,106
do n't work in concert ,0,107
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ",1,108
would have liked it more if it had just gone that one step further ,1,109
"it 's too harsh to work as a piece of storytelling , ",0,110
hawaiian shirt ,1,111
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ",1,112
provide its keenest pleasures ,1,113
altogether too slight to be called any kind of masterpiece ,0,114
grievous but ,0,115
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0,116
hopeless ,0,117
"unpretentious , charming , quirky , original ",1,118
