sentence,label,idx,processed_text
hide new secretions from the parental units ,0,0,hide new secretions parental units
"contains no wit , only labored gags ",0,1,contains wit labored gags
that loves its characters and communicates something rather beautiful about human nature ,1,2,loves characters communicates something rather beautiful human nature
remains utterly satisfied to remain the same throughout ,0,3,remains utterly satisfied remain throughout
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,4,worst revenge nerds clichés filmmakers could dredge
that 's far too tragic to merit such superficial treatment ,0,5,far tragic merit superficial treatment
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,6,demonstrates director hollywood blockbusters patriot games still turn small personal film emotional wallop
of saucy ,1,7,saucy
a depressed fifteen-year-old 's suicidal poetry ,0,8,depressed fifteen year old suicidal poetry
are more deeply thought through than in most ` right-thinking ' films ,1,9,deeply thought right thinking films
goes to absurd lengths ,0,10,goes absurd lengths
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,11,moviegoers complain n make movies like used anymore
"the part where nothing 's happening , ",0,12,part nothing happening
saw how bad this movie was ,0,13,saw bad movie
lend some dignity to a dumb story ,0,14,lend dignity dumb story
the greatest musicians ,1,15,greatest musicians
cold movie ,0,16,cold movie
with his usual intelligence and subtlety ,1,17,usual intelligence subtlety
redundant concept ,0,18,redundant concept
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,19,swimming young woman face casting actress whose face projects woman doubts yearnings succeeds
equals the original and in some ways even betters it ,1,20,equals original ways even betters
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,21,anything see karen black camps storm fringe feminist conspiracy theorist named dirty dick
a smile on your face ,1,22,smile face
"comes from the brave , uninhibited performances ",1,23,comes brave uninhibited performances
excruciatingly unfunny and pitifully unromantic ,0,24,excruciatingly unfunny pitifully unromantic
enriched by an imaginatively mixed cast of antic spirits ,1,25,enriched imaginatively mixed cast antic spirits
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,26,half dragonfly worse part nothing happening part something happening
in world cinema ,1,27,world cinema
very good viewing alternative ,1,28,good viewing alternative
"the plot is nothing but boilerplate clichés from start to finish , ",0,29,plot nothing boilerplate clichés start finish
the action is stilted ,0,30,action stilted
on all cylinders ,1,31,cylinders
"will find little of interest in this film , which is often preachy and poorly acted ",0,32,find little interest film often preachy poorly acted
by far the worst movie of the year ,0,33,far worst movie year
"sit through , ",0,34,sit
more than another `` best man '' clone by weaving a theme throughout this funny film ,1,35,another best man clone weaving theme throughout funny film
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,36,issues adults face marriage think liked real issues tucked silly crude storyline
heroes ,1,37,heroes
oblivious to the existence of this film ,0,38,oblivious existence film
sharply ,1,39,sharply
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,40,entire point shaggy dog story course goes nowhere classic nowheresville every sense
sometimes dry ,0,41,sometimes dry
"as they come , already having been recycled more times than i 'd care to count ",0,42,come already recycled times care count
"covers this territory with wit and originality , suggesting that with his fourth feature ",1,43,covers territory wit originality suggesting fourth feature
a $ 40 million version of a game ,0,44,40 million version game
gorgeous and deceptively minimalist ,1,45,gorgeous deceptively minimalist
cross swords with the best of them and ,1,46,cross swords best
as a fringe feminist conspiracy theorist ,0,47,fringe feminist conspiracy theorist
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,48,proves n lost touch bringing superb performance admittedly middling film
disappointments ,0,49,disappointments
the horrors ,0,50,horrors
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,51,muddle splashed bloody beauty vivid scorsese ever given us
many pointless ,0,52,many pointless
a beautifully ,1,53,beautifully
"contrived , well-worn situations ",0,54,contrived well worn situations
a doa ,0,55,doa
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,56,poor ben bratt could n find stardom mapquest emailed point point driving directions
to be as subtle and touching as the son 's room ,1,57,subtle touching son room
starts with a legend ,1,58,starts legend
far less sophisticated and ,0,59,far less sophisticated
rich veins of funny stuff in this movie ,1,60,rich veins funny stuff movie
no apparent joy ,0,61,apparent joy
shot on ugly digital video ,0,62,shot ugly digital video
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,63,sour little movie core exploration emptiness underlay relentless gaiety 1920 film ending
"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,64,though ford neeson capably hold interest thrilling movie
is pretty damned funny . ,1,65,pretty damned funny
we never feel anything for these characters ,0,66,never feel anything characters
's a lousy one at that ,0,67,lousy one
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,68,corporate circus recording industry current climate mergers downsizing
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,69,storylines woven together skilfully magnificent swooping aerial shots breathtaking overall experience awesome
of the most highly-praised disappointments i ,0,70,highly praised disappointments
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,71,sounds like cruel deception carried men marginal intelligence reactionary ideas women total lack empathy
seem fresh ,1,72,seem fresh
to the dustbin of history ,0,73,dustbin history
"as a director , eastwood is off his game ",0,74,director eastwood game
pays earnest homage to turntablists ,1,75,pays earnest homage turntablists
weak and ,0,76,weak
"skip this dreck , ",0,77,skip dreck
contains very few laughs and even less surprises ,0,78,contains laughs even less surprises
film to affirm love 's power to help people endure almost unimaginable horror ,1,79,film affirm love power help people endure almost unimaginable horror
are an absolute joy ,1,80,absolute joy
generates ,1,81,generates
", like life , is n't much fun without the highs and lows ",1,82,like life n much fun without highs lows
based on a true and historically significant story ,1,83,based true historically significant story
well-rounded tribute ,1,84,well rounded tribute
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,85,though many actors throw spark two first appear ca n generate enough heat cold vacuum comedy start reaction
so much like a young robert deniro ,1,86,much like young robert deniro
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,87,khouri manages terrific flair keep extremes screwball farce blood curdling family intensity one continuum
fashioning an engrossing entertainment out ,1,88,fashioning engrossing entertainment
spiffy animated feature ,1,89,spiffy animated feature
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,90,sloppily written cast believe anyone central creation bugsy caterer
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,91,alternating facetious comic parody pulp melodrama smart aleck movie tosses around intriguing questions difference human android life
strung-together moments ,0,92,strung together moments
", generous and subversive artworks ",1,93,generous subversive artworks
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,94,n follow stale standard connect dots storyline become commonplace movies explore seamy underbelly criminal world
funny yet ,1,95,funny yet
overbearing and over-the-top ,0,96,overbearing top
it 's robert duvall ! ,1,97,robert duvall
rich and sudden wisdom ,1,98,rich sudden wisdom
